Angle,Distance
-0.047,0.278
89.410,0.017
89.985,0.552
0.023,0.887
89.866,0.020
99.032,0.020
0.069,0.887
91.493,0.016
92.424,0.027
0.034,0.281
0.000,0.178
-0.199,0.117
83.863,0.317
84.614,0.359
0.122,0.161
0.302,0.143
2.178,0.728
-0.317,0.272
0.098,0.223
109.634,0.036
0.141,0.282
47.474,0.056
0.069,0.887
-0.465,0.182
75.549,0.359
0.090,0.219
88.707,0.021
-0.142,0.278
0.000,0.178
3.024,0.623
-0.201,0.210
88.728,0.018
-0.688,0.181
0.243,0.178
0.000,0.172
-0.142,0.286
-0.023,0.887
-18.872,0.860
47.203,0.042
0.132,0.173
0.341,0.257
0.366,0.186
89.859,0.020
89.995,0.493
-29.992,0.814
0.701,0.346
0.042,0.800
90.669,0.148
0.264,0.163
0.804,0.151
-0.498,0.169
-0.030,0.195
0.382,0.183
-0.080,0.759
-0.097,0.208
0.000,0.315
-0.110,0.737
-0.110,0.737
0.000,0.315
0.121,0.185
90.000,0.020
90.133,0.028
89.782,0.015
-0.209,0.110
-0.142,0.176
0.341,0.257
97.016,0.020
0.145,0.208
-0.078,0.885
0.339,0.178
0.364,0.185
-0.030,0.178
90.093,0.011
86.617,0.306
0.055,0.406
90.008,0.550
0.800,0.113
89.983,0.022
-0.106,0.406
91.077,0.017
0.325,0.211
99.162,0.018
0.000,0.100
-0.268,0.189
-10.395,0.284
90.023,0.232
0.325,0.210
0.582,0.827
-0.212,0.205
0.018,0.718
90.515,0.492
0.116,0.475
26.565,0.069
0.063,0.137
0.055,0.238
0.366,0.266
0.000,0.135
0.103,0.590
0.130,0.815
-0.094,0.253
-0.050,0.378
0.000,0.567
-0.032,0.572
0.000,0.572
0.233,0.871
0.204,0.244
0.122,0.249
-0.041,0.244
-0.041,0.244
0.041,0.249
-0.024,0.789
90.037,0.020
90.037,0.020
90.861,0.016
0.112,0.199
0.265,0.230
0.000,0.237
0.278,0.225
-0.100,0.218
90.011,0.184
0.000,0.227
0.098,0.212
90.499,0.029
